Unnamed: 0,ms_subclass,lot_frontage,lot_area,lot_shape,land_slope,overall_qual,overall_cond,year_built,year_remod/add,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,electrical,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,saleprice,overall_qual_p2,overall_qual_p3,overallqual_grlivarea,gr_liv_area_p2,gr_liv_area_p3,ms_zoning_c (all),ms_zoning_fv,ms_zoning_rl,ms_zoning_rm,alley_None,alley_grvl,alley_pave,land_contour_bnk,land_contour_hls,land_contour_low,land_contour_lvl,lot_config_corner,lot_config_culdsac,lot_config_fr2,lot_config_inside,neighborhood_blmngtn,neighborhood_brdale,neighborhood_brkside,neighborhood_clearcr,neighborhood_collgcr,neighborhood_crawfor,neighborhood_edwards,neighborhood_gilbert,neighborhood_idotrr,neighborhood_meadowv,neighborhood_mitchel,neighborhood_names,neighborhood_noridge,neighborhood_nridght,neighborhood_nwames,neighborhood_oldtown,neighborhood_sawyer,neighborhood_sawyerw,neighborhood_somerst,neighborhood_stonebr,neighborhood_swisu,neighborhood_timber,condition_1_artery,condition_1_feedr,condition_1_norm,condition_1_posn,condition_1_rrae,condition_1_rran,condition_2_norm,bldg_type_1fam,bldg_type_2fmcon,bldg_type_duplex,bldg_type_twnhs,bldg_type_twnhse,house_style_1.5fin,house_style_1story,house_style_2story,house_style_sfoyer,house_style_slvl,roof_style_gable,roof_style_hip,roof_matl_compshg,exterior_1st_asbshng,exterior_1st_brkface,exterior_1st_cemntbd,exterior_1st_hdboard,exterior_1st_metalsd,exterior_1st_plywood,exterior_1st_stucco,exterior_1st_vinylsd,exterior_1st_wd sdng,exterior_1st_wdshing,exterior_2nd_asbshng,exterior_2nd_brkface,exterior_2nd_cmentbd,exterior_2nd_hdboard,exterior_2nd_metalsd,exterior_2nd_plywood,exterior_2nd_stucco,exterior_2nd_vinylsd,exterior_2nd_wd sdng,exterior_2nd_wd shng,mas_vnr_type_None,mas_vnr_type_brkface,mas_vnr_type_none,mas_vnr_type_stone,foundation_brktil,foundation_cblock,foundation_pconc,foundation_slab,heating_gasa,heating_gasw,central_air_n,central_air_y,garage_type_2types,garage_type_attchd,garage_type_basment,garage_type_builtin,garage_type_detchd,garage_type_no garage,misc_feature_None,misc_feature_shed,sale_type_cod,sale_type_new,sale_type_wd ,combined_sale_type,combined_house_style,combined_roof_style
0,60,0.0,13517,0,0,6,8,1976,2005,289.0,2,4,5,5,3,3,533.0,5,0.0,192.0,725.0,0,4,754,0,1479,0.0,0.0,2,1,3,1,2,7,0,0,1976.0,2,475.0,5,5,2,0,44,0,0,0,0,0,0,0,3,2010,130500,36,216,8874,2187441,3235225239,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1,60,43.0,11492,0,0,7,5,1996,1997,132.0,2,4,3,5,3,3,637.0,5,0.0,276.0,913.0,0,4,1209,0,2122,1.0,0.0,2,1,4,1,2,7,1,5,1997.0,2,559.0,5,5,2,0,74,0,0,0,0,0,0,0,4,2009,220000,49,343,14854,4502884,9555119848,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,20,68.0,7922,3,0,5,7,1953,2007,0.0,3,2,5,5,3,3,731.0,5,0.0,326.0,1057.0,4,4,0,0,1057,1.0,0.0,1,0,3,1,2,7,0,0,1953.0,3,246.0,5,5,2,0,52,0,0,0,0,0,0,0,1,2010,109000,25,125,5285,1117249,1180932193,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
3,60,73.0,9802,3,0,5,5,2006,2007,0.0,3,4,3,5,3,6,0.0,5,0.0,384.0,384.0,2,4,700,0,1444,0.0,0.0,2,1,3,1,3,7,0,0,2007.0,1,400.0,5,5,2,100,0,0,0,0,0,0,0,0,4,2010,174000,25,125,7220,2085136,3010936384,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4,50,82.0,14235,0,0,6,8,1900,1993,0.0,3,4,2,3,3,6,0.0,5,0.0,676.0,676.0,4,4,614,0,1445,0.0,0.0,2,0,3,1,3,7,0,0,1957.0,3,484.0,5,5,0,0,59,0,0,0,0,0,0,0,3,2010,138500,36,216,8670,2088025,3017196125,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
5,20,137.0,16492,0,0,6,6,1966,2002,0.0,2,4,5,5,3,1,247.0,4,713.0,557.0,1517.0,0,4,0,0,1888,0.0,0.0,2,1,2,1,2,4,1,3,1966.0,1,578.0,5,5,2,0,0,0,0,0,0,0,0,0,6,2010,190000,36,216,11328,3564544,6729859072,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6,180,35.0,3675,3,0,6,5,2005,2006,82.0,3,4,3,5,1,3,547.0,5,0.0,0.0,547.0,2,4,0,0,1072,1.0,0.0,2,0,2,1,3,7,0,0,2005.0,1,525.0,5,5,2,0,44,0,0,0,0,0,0,0,6,2006,140000,36,216,6432,1149184,1231925248,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
7,20,0.0,12160,0,0,5,5,1959,1959,180.0,3,4,5,5,3,5,1000.0,5,0.0,188.0,1188.0,1,4,0,0,1188,1.0,0.0,1,0,3,1,3,7,0,0,1959.0,2,531.0,5,5,2,0,0,0,0,0,0,0,3,0,5,2010,142000,25,125,5940,1411344,1676676672,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
8,20,0.0,15783,3,0,5,5,1952,1952,0.0,3,4,5,5,3,5,292.0,5,0.0,632.0,924.0,4,4,0,0,924,0.0,0.0,1,0,2,1,3,7,0,0,1952.0,3,420.0,5,5,2,0,324,0,0,0,0,0,3,400,6,2007,112500,25,125,4620,853776,788889024,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
9,60,70.0,11606,0,2,5,5,1969,1969,192.0,3,4,3,5,0,5,650.0,5,0.0,390.0,1040.0,4,4,1040,0,2080,0.0,1.0,1,2,5,1,1,7,2,5,1969.0,3,504.0,5,5,2,335,0,0,0,0,0,0,0,0,9,2007,135000,25,125,10400,4326400,8998912000,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
